"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2025 QV3)","2025-Aug-25 23:41 ± < 00:01","0.02531","0.02522","6.20","6.19","27.6","7.9 m -   18 m","0"
"(2025 QB3)","2025-Aug-26 08:03 ±    00:05","0.04887","0.04871","7.04","7.03","26.2","16 m -   35 m","0"
"(2025 QK3)","2025-Aug-26 15:43 ± < 00:01","0.03004","0.02982","12.72","12.71","24.9","28 m -   62 m","0"
"(2025 QB5)","2025-Aug-26 17:15 ±    01:25","0.02998","0.02989","4.77","4.75","25.7","19 m -   43 m","0"
"(2025 QC1)","2025-Aug-27 01:06 ± < 00:01","0.01082","0.01078","9.43","9.40","26.1","16 m -   36 m","0"
"(2025 PM2)","2025-Aug-27 12:27 ± < 00:01","0.02490","0.02486","18.50","18.50","23.9","44 m -   99 m","0"
"(2025 QX4)","2025-Aug-27 16:21 ± < 00:01","0.00940","0.00937","6.89","6.85","25.9","18 m -   40 m","0"
"(2025 PX)","2025-Aug-29 02:50 ± < 00:01","0.04218","0.04195","7.01","7.00","24.2","39 m -   88 m","0"
"(2025 QY4)","2025-Aug-29 05:56 ± < 00:01","0.03018","0.02994","13.50","13.50","24.0","43 m -   95 m","0"
"(2017 RK15)","2025-Aug-29 17:50 ±    00:03","0.04037","0.04030","13.20","13.20","25.7","19 m -   43 m","0"
"(2020 TS1)","2025-Aug-29 18:43 ±    19:47","0.04549","0.04541","3.27","3.25","29.2","3.8 m -  8.6 m","0"
"(1998 SH2)","2025-Aug-30 13:25 ± < 00:01","0.02078","0.02078","17.30","17.29","20.8","0.383±0.057 km","2"
"(2025 PJ3)","2025-Sep-01 01:41 ±    00:13","0.02025","0.01998","11.74","11.73","25.3","23 m -   51 m","0"
"(2025 PF3)","2025-Sep-03 17:54 ± < 00:01","0.04185","0.04162","6.94","6.93","26.1","16 m -   36 m","0"
"(2025 OG1)","2025-Sep-05 16:46 ±    01:41","0.03710","0.03658","4.18","4.16","25.1","26 m -   58 m","0"
"(2019 JG1)","2025-Sep-09 15:01 ±    00:38","0.04823","0.04822","7.90","7.90","26.6","13 m -   28 m","0"
"(2009 FF)","2025-Sep-11 17:31 ± < 00:01","0.01747","0.01747","12.93","12.91","21.8","120 m -  260 m","1"
"(2025 QO1)","2025-Sep-11 19:08 ±    00:04","0.02220","0.02219","13.59","13.58","23.2","62 m -  140 m","1"
"(2015 SA)","2025-Sep-13 02:45 ±    05:47","0.02631","0.01897","9.05","9.04","25.3","23 m -   52 m","0"
"(2022 SS2)","2025-Sep-13 15:22 ± 3_03:06","0.00609","0.00475","7.22","7.16","27.2","9.8 m -   22 m","0"
"(2025 FA22)","2025-Sep-18 07:42 ± < 00:01","0.00563","0.00563","10.79","10.74","21.6","120 m -  280 m","3"
"(2025 PJ1)","2025-Sep-21 19:58 ±    03:28","0.02968","0.02926","11.85","11.85","22.2","98 m -  220 m","1"
"(2022 SW12)","2025-Sep-23 01:38 ± < 00:01","0.03838","0.03838","17.62","17.62","21.1","160 m -  350 m","1"
"(2018 QT1)","2025-Sep-23 17:40 ± < 00:01","0.03364","0.03364","12.65","12.65","22.1","100 m -  230 m","1"
"(2021 RN16)","2025-Sep-23 22:07 ± 5_14:26","0.02592","0.00131","8.81","8.80","28.4","5.5 m -   12 m","0"
"152664 (1998 FW4)","2025-Sep-29 18:59 ± < 00:01","0.02575","0.02575","18.61","18.60","19.7","310 m -  690 m","2"
"(2020 GE1)","2025-Oct-02 21:39 ±    01:34","0.03514","0.03507","4.67","4.66","27.1","10 m -   23 m","0"
"(2022 TU1)","2025-Oct-08 08:43 ± 3_02:58","0.04318","0.00107","12.91","12.90","27.8","7.4 m -   16 m","0"
"(2020 QU5)","2025-Oct-09 00:26 ± 2_08:36","0.01814","0.01091","13.63","13.62","25.7","19 m -   43 m","0"
"(2022 AY5)","2025-Oct-14 08:00 ± 5_09:51","0.01903","0.01452","8.40","8.38","29.2","3.8 m -  8.6 m","0"
"(2022 UY3)","2025-Oct-15 14:21 ±    16:57","0.02601","0.02032","7.41","7.39","26.9","11 m -   25 m","0"
"(2022 UU15)","2025-Oct-19 03:00 ±    08:03","0.03789","0.03008","16.06","16.05","25.1","26 m -   58 m","0"
"(2023 UK3)","2025-Oct-21 10:28 ± 2_20:18","0.01708","0.00060","8.98","8.96","29.2","3.8 m -  8.6 m","0"
"(2024 GD2)","2025-Oct-22 17:04 ± 2_00:10","0.04568","0.03540","4.23","4.22","25.6","21 m -   46 m","0"
"(2022 HM1)","2025-Oct-23 04:22 ± 8_06:17","0.03859","0.03367","13.28","13.28","25.6","20 m -   45 m","0"